date,province,region,metric,value
1/1/2019,Kanchanaburi ,central,no_tourist_thai,707690
1/1/2019,Samut Songkhram ,central,no_tourist_thai,197952
1/1/2019,Suphan Buri ,central,no_tourist_thai,234233
1/1/2019,Phetchaburi ,central,no_tourist_thai,643367
1/1/2019,Prachuap Khiri Khan ,central,no_tourist_thai,511080
1/1/2019,Chonburi ,east,no_tourist_thai,632916
1/1/2019,Chanthaburi ,east,no_tourist_thai,250149
1/1/2019,Trat ,east,no_tourist_thai,142674
1/1/2019,Nakhon Nayok ,east,no_tourist_thai,276249
1/1/2019,Ratchaburi ,central,no_tourist_thai,231887
1/1/2019,Chanthaburi ,east,no_tourist_foreign,6956
1/1/2019,Phetchabun ,north,no_tourist_thai,253752
1/1/2019,Lampang ,north,no_tourist_thai,106656
1/1/2019,Amnat Charoen ,east_northeast,no_tourist_thai,20972
1/1/2019,Nong Bua Lamphu ,east_northeast,no_tourist_thai,36182
1/1/2019,Bangkok,central,no_tourist_foreign,2425014
1/1/2019,Phra Nakhon Si Ayutthaya ,central,no_tourist_foreign,168776
1/1/2019,Saraburi ,central,no_tourist_foreign,5836
1/1/2019,Chainat ,central,no_tourist_foreign,559
1/1/2019,Nakhon Pathom ,central,no_tourist_foreign,11699
1/1/2019,Sing Buri ,central,no_tourist_foreign,248
1/1/2019,Ang Thong ,central,no_tourist_foreign,5281
1/1/2019,Yasothon ,east_northeast,no_tourist_thai,57363
1/1/2019,Nonthaburi ,central,no_tourist_foreign,30373
1/1/2019,Samut Prakan ,central,no_tourist_foreign,209328
1/1/2019,Samut Sakhon ,central,no_tourist_foreign,421
1/1/2019,Chachoengsao ,east,no_tourist_foreign,3731
1/1/2019,Ratchaburi ,central,no_tourist_foreign,4553
1/1/2019,Kanchanaburi ,central,no_tourist_foreign,45211
1/1/2019,Samut Songkhram ,central,no_tourist_foreign,3799
1/1/2019,Suphan Buri ,central,no_tourist_foreign,1748
1/1/2019,Phetchaburi ,central,no_tourist_foreign,70307
1/1/2019,Prachuap Khiri Khan ,central,no_tourist_foreign,127972
1/1/2019,Pathum Thani ,central,no_tourist_foreign,60878
1/1/2019,Phrae ,north,no_tourist_thai,74753
1/1/2019,Sakon Nakhon ,east_northeast,no_tourist_thai,115844
1/1/2019,Udon Thani ,east_northeast,no_tourist_thai,265790
1/1/2019,Lamphun ,north,no_tourist_thai,111305
1/1/2019,Mae Hong Son ,north,no_tourist_thai,113044
1/1/2019,Uttaradit ,north,no_tourist_thai,124175
1/1/2019,Uthai Thani ,north,no_tourist_thai,76374
1/1/2019,Sukhothai ,north,no_tourist_thai,107592
1/1/2019,Nan ,north,no_tourist_thai,111445
1/1/2019,Kalasin ,east_northeast,no_tourist_thai,61619
1/1/2019,Khon Kaen ,east_northeast,no_tourist_thai,631397
1/1/2019,Chaiyaphum ,east_northeast,no_tourist_thai,135391
1/1/2019,Ubon Ratchathani ,east_northeast,no_tourist_thai,297757
1/1/2019,Nakhon Phanom ,east_northeast,no_tourist_thai,96871
1/1/2019,Buriram ,east_northeast,no_tourist_thai,180076
1/1/2019,Maha Sarakham ,east_northeast,no_tourist_thai,70956
1/1/2019,Mukdahan ,east_northeast,no_tourist_thai,203920
1/1/2019,Roi Et ,east_northeast,no_tourist_thai,83928
1/1/2019,Loei ,east_northeast,no_tourist_thai,209451
1/1/2019,Sisaket ,south,no_tourist_thai,183092
1/1/2019,Surin ,east_northeast,no_tourist_thai,130719
1/1/2019,Nong Khai ,east_northeast,no_tourist_thai,188092
1/1/2019,Bueng Kan ,east_northeast,no_tourist_thai,65700
1/1/2019,Nakhon Ratchasima ,east_northeast,no_tourist_thai,992396
1/1/2019,Phang Nga ,south,revenue_foreign,5132310000
1/1/2019,Songkhla ,south,revenue_foreign,2925980000
1/1/2019,Krabi ,south,revenue_foreign,7855390000
1/1/2019,Pathum Thani ,central,revenue_thai,204140000
1/1/2019,Samut Prakan ,central,revenue_thai,308330000
1/1/2019,Samut Sakhon ,central,revenue_thai,163760000
1/1/2019,Chachoengsao ,east,revenue_thai,288180000
1/1/2019,Ratchaburi ,central,revenue_thai,439180000
1/1/2019,Kanchanaburi ,central,revenue_thai,2438190000
1/1/2019,Samut Songkhram ,central,revenue_thai,337590000
1/1/2019,Suphan Buri ,central,revenue_thai,484900000
1/1/2019,Phetchaburi ,central,revenue_thai,1776560000
1/1/2019,Nonthaburi ,central,revenue_thai,422330000
1/1/2019,Prachuap Khiri Khan ,central,revenue_thai,2516840000
1/1/2019,Chanthaburi ,east,revenue_thai,795710000
1/1/2019,Trat ,east,revenue_thai,900150000
1/1/2019,Nakhon Nayok ,east,revenue_thai,836200000
1/1/2019,Prachinburi ,east,revenue_thai,479400000
1/1/2019,Rayong ,east,revenue_thai,1980420000
1/1/2019,Sa Kaeo ,east,revenue_thai,483690000
1/1/2019,Phuket ,south,revenue_thai,4770590000
1/1/2019,Phatthalung ,south,revenue_thai,178810000
1/1/2019,Trang ,south,revenue_thai,1029670000
1/1/2019,Chonburi ,east,revenue_thai,3967440000
1/1/2019,Ranong ,south,revenue_thai,322820000
1/1/2019,Ang Thong ,central,revenue_thai,126320000
1/1/2019,Nakhon Pathom ,central,revenue_thai,391120000
1/1/2019,Buriram ,east_northeast,revenue_all,364160000
1/1/2019,Maha Sarakham ,east_northeast,revenue_all,115940000
1/1/2019,Mukdahan ,east_northeast,revenue_all,386620000
1/1/2019,Roi Et ,east_northeast,revenue_all,116210000
1/1/2019,Loei ,east_northeast,revenue_all,473630000
1/1/2019,Sisaket ,south,revenue_all,285020000
1/1/2019,Surin ,east_northeast,revenue_all,346830000
1/1/2019,Nong Khai ,east_northeast,revenue_all,546790000
1/1/2019,Bueng Kan ,east_northeast,revenue_all,137810000
1/1/2019,Sing Buri ,central,revenue_thai,69220000
1/1/2019,Udon Thani ,east_northeast,revenue_all,777600000
1/1/2019,Sakon Nakhon ,east_northeast,revenue_all,240630000
1/1/2019,Yasothon ,east_northeast,revenue_all,76950000
1/1/2019,Amnat Charoen ,east_northeast,revenue_all,34510000
1/1/2019,Nong Bua Lamphu ,east_northeast,revenue_all,38490000
1/1/2019,Bangkok,central,revenue_thai,29742580000
1/1/2019,Lopburi ,central,revenue_thai,451830000
1/1/2019,Phra Nakhon Si Ayutthaya ,central,revenue_thai,1054250000
1/1/2019,Saraburi ,central,revenue_thai,336190000
1/1/2019,Chainat ,central,revenue_thai,100900000
1/1/2019,Ubon Ratchathani ,east_northeast,revenue_all,1001550000
1/1/2019,Nakhon Ratchasima ,east_northeast,revenue_all,2504220000
1/1/2019,Chumphon ,south,revenue_thai,447370000
1/1/2019,Yala ,south,revenue_thai,37040000
1/1/2019,Kalasin ,east_northeast,revenue_thai,92720000
1/1/2019,Khon Kaen ,east_northeast,revenue_thai,1881610000
1/1/2019,Chaiyaphum ,east_northeast,revenue_thai,177360000
1/1/2019,Nakhon Phanom ,east_northeast,revenue_thai,210700000
1/1/2019,Nakhon Ratchasima ,east_northeast,revenue_thai,2407700000
1/1/2019,Buriram ,east_northeast,revenue_thai,355910000
1/1/2019,Maha Sarakham ,east_northeast,revenue_thai,113550000
1/1/2019,Mukdahan ,east_northeast,revenue_thai,354150000
1/1/2019,Roi Et ,east_northeast,revenue_thai,114430000
1/1/2019,Nan ,north,revenue_thai,323320000
1/1/2019,Loei ,east_northeast,revenue_thai,463520000
1/1/2019,Surin ,east_northeast,revenue_thai,335080000
1/1/2019,Nong Khai ,east_northeast,revenue_thai,446920000
1/1/2019,Bueng Kan ,east_northeast,revenue_thai,137140000
1/1/2019,Udon Thani ,east_northeast,revenue_thai,695870000
1/1/2019,Ubon Ratchathani ,east_northeast,revenue_thai,913480000
1/1/2019,Sakon Nakhon ,east_northeast,revenue_thai,239410000
1/1/2019,Yasothon ,east_northeast,revenue_thai,72890000
1/1/2019,Amnat Charoen ,east_northeast,revenue_thai,32640000
1/1/2019,Nong Bua Lamphu ,east_northeast,revenue_thai,38250000
1/1/2019,Sisaket ,south,revenue_thai,278840000
1/1/2019,Pattani ,south,revenue_thai,78470000
1/1/2019,Sukhothai ,north,revenue_thai,206210000
1/1/2019,Uttaradit ,north,revenue_thai,251190000
1/1/2019,Nakhon Si Thammarat ,south,revenue_thai,1235490000
1/1/2019,Narathiwat ,south,revenue_thai,63950000
1/1/2019,Krabi ,south,revenue_thai,2989400000
1/1/2019,Songkhla ,south,revenue_thai,3605370000
1/1/2019,Phang Nga ,south,revenue_thai,929750000
1/1/2019,Surat Thani ,south,revenue_thai,1285970000
1/1/2019,Satun ,south,revenue_thai,1661300000
1/1/2019,Kamphaeng Phet ,north,revenue_thai,149140000
1/1/2019,Chiang Rai ,north,revenue_thai,2628010000
1/1/2019,Uthai Thani ,north,revenue_thai,122840000
1/1/2019,Chiang Mai ,north,revenue_thai,7670670000
1/1/2019,Nakhon Sawan ,north,revenue_thai,340970000
1/1/2019,Tak ,north,revenue_thai,695170000
1/1/2019,Phitsanulok ,north,revenue_thai,916860000
1/1/2019,Phayao ,north,revenue_thai,143930000
1/1/2019,Phetchabun ,north,revenue_thai,855940000
1/1/2019,Phrae ,north,revenue_thai,151750000
